cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Anorthoa munda,Larval Feeding on softwood trees,larvae exclusively feed on softwood trees in nature.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abraxas sylvata,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Craniophora ligustri,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Thaumetopoea processionea,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Xanthorhoe designata,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lithophane hepatica,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmorhoe ocellata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Xanthorhoe biriviata,Number of host plant families recorded in evaluated sources. ,1 genus,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Agriopis bajaria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Asteroscopus sphinx,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia selinata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chlorissa cloraria,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gluphisia crenata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abraxas grossulariata,Larval Feeding on softwood trees,larval host range does include softwood trees,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ascotis selenaria,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe fluctuata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stegania cararia,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eucarta virgo,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Egira conspicillaris,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Charanyca ferruginea,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudeustrotia candidula,Larval Feeding on grasses,larvae exclusively known to feed on graminoid plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euplexia lucipara,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia xanthographa,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Meganola albula,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania crocealis,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conisania luteago,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conistra vaccinii,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis advenella,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Galleria mellonella,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paradarisa consonaria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphomia sociella,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypomecis roboraria,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypogon tentacularia,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
